Channel Name	Subscribers	# of vids in dataset	# affiliate vids	# disclosures	# num_explanations	# support channels
David Guetta	14964724	1	1	0	0	0
IISuperwomanII	12610518	1	0	0	0	0
jacksepticeye	17046051	8	0	0	0	0
RomanAtwoodVlogs	13772336	2	0	0	0	0
FailArmy	12958478	1	0	0	0	0
Canal KondZilla	21298544	1	0	0	0	0
Felipe Neto	15649389	1	0	0	0	0
TheEllenShow	21412320	1	0	0	0	0
SET India	16210840	3	0	0	0	0
WWE	18989905	17	0	0	0	0
VEGETTA777	19673486	2	0	0	0	0
WatchMojo.com	15655525	7	0	0	0	0
T-Series	27722119	9	0	0	0	0
VanossGaming	21670774	1	0	0	0	0
rezendeevil	13488224	1	0	0	0	0
TheWillyrex	12616357	3	0	0	0	0
Markiplier	18716686	10	0	0	0	0
Vsauce	12644775	1	0	0	0	0
Werevertumorro	14174380	1	0	0	0	0
Dude Perfect	23892244	2	2	0	0	0
JennaMarbles	17695989	1	0	0	0	0
Trap Nation	16344076	3	0	0	0	0
enchufetv	15390066	1	0	0	0	0
Ed Sheeran	22812659	1	0	0	0	0
JuegaGerman	22333567	1	0	0	0	0
Good Mythical Morning	12784003	5	0	0	0	0
shakiraVEVO	17557832	1	0	0	0	0
BuzzFeedVideo	13683286	2	0	0	0	0
Logan Paul Vlogs	13424408	1	0	0	0	0
Smosh	22751509	1	0	0	0	0
Maroon5VEVO	14702080	1	0	0	0	0
Spinnin' Records	18980576	6	1	0	0	0
PewDiePie	57848823	2	1	0	0	0
The Tonight Show Starring Jimmy Fallon	14704045	1	0	0	0	0
